Name            Surname         Final (Avg.)     Final (Med.)
Name59008       Surname59008            4.00             2.80
Name59009       Surname59009            3.60             1.80
Name59010       Surname59010            2.80             1.00
Name58815       Surname58815            4.00             6.40
Name58814       Surname58814            4.80             4.80
Name58809       Surname58809            4.80             4.80
Name59014       Surname59014            4.40             6.80
Name58808       Surname58808            4.00             2.20
Name58806       Surname58806            4.60             4.60
Name59017       Surname59017            3.20             4.40
Name59018       Surname59018            4.00             2.80
Name58805       Surname58805            3.40             1.60
Name59020       Surname59020            3.80             5.00
Name58803       Surname58803            4.00             2.80
Name58802       Surname58802            4.00             5.80
Name58801       Surname58801            3.40             4.60
Name59024       Surname59024            3.20             3.20
Name58799       Surname58799            2.00             4.40
Name59026       Surname59026            4.60             7.60
Name58795       Surname58795            4.00             5.20
Name58794       Surname58794            4.80             3.00
Name58792       Surname58792            3.60             7.20
Name58789       Surname58789            4.40             7.40
Name58788       Surname58788            2.20             2.20
Name59032       Surname59032            4.20             3.60
Name59033       Surname59033            3.80             5.00
Name58784       Surname58784            4.20             4.20
Name59035       Surname59035            3.60             4.80
Name58782       Surname58782            4.20             5.40
Name58777       Surname58777            2.60             2.00
Name58772       Surname58772            4.60             5.80
Name58771       Surname58771            3.80             5.60
Name59040       Surname59040            4.40             5.00
Name58770       Surname58770            4.20             4.20
Name59042       Surname59042            3.20             4.40
Name59043       Surname59043            4.00             4.00
Name58768       Surname58768            3.80             6.20
Name58767       Surname58767            4.40             6.80
Name59046       Surname59046            4.60             4.00
Name58766       Surname58766            2.20             2.20
Name58765       Surname58765            2.60             2.60
Name58762       Surname58762            2.80             4.00
Name59050       Surname59050            4.80             3.00
Name59051       Surname59051            4.00             2.20
Name58761       Surname58761            4.80             4.20
Name59053       Surname59053            3.20             4.40
Name58760       Surname58760            4.60             5.20
Name59055       Surname59055            2.80             1.60
Name58753       Surname58753            4.40             6.80
Name58751       Surname58751            3.20             3.20
Name59058       Surname59058            4.60             3.40
Name59059       Surname59059            3.80             3.20
Name59060       Surname59060            3.80             3.20
Name59061       Surname59061            4.40             2.60
Name58748       Surname58748            3.80             2.00
Name59063       Surname59063            4.80             5.40
Name59064       Surname59064            3.40             5.20
Name59065       Surname59065            4.60             3.40
Name59066       Surname59066            3.60             1.80
Name58747       Surname58747            4.00             6.40
Name59068       Surname59068            3.80             3.20
Name58745       Surname58745            4.60             3.40
Name58741       Surname58741            4.00             4.00
Name58737       Surname58737            4.60             7.00
Name59072       Surname59072            4.00             4.60
Name58736       Surname58736            4.80             3.60
Name59074       Surname59074            4.80             5.40
Name58733       Surname58733            4.40             4.40
Name58729       Surname58729            4.00             7.00
Name58723       Surname58723            4.40             6.20
Name58721       Surname58721            4.40             2.00
Name58720       Surname58720            4.80             7.20
Name58717       Surname58717            2.60             4.40
Name59081       Surname59081            4.00             4.00
Name58714       Surname58714            4.40             6.80
Name59083       Surname59083            4.80             4.20
Name58712       Surname58712            4.60             5.20
Name58710       Surname58710            3.80             5.00
Name58706       Surname58706            3.80             3.80
Name59087       Surname59087            4.40             5.00
Name59088       Surname59088            2.80             1.60
Name59089       Surname59089            4.00             2.80
Name58704       Surname58704            4.60             5.20
Name59091       Surname59091            4.00             2.80
Name58700       Surname58700            3.80             5.60
Name58698       Surname58698            3.20             6.80
Name58695       Surname58695            2.80             2.20
Name59095       Surname59095            4.20             5.40
Name58694       Surname58694            4.40             3.80
Name59097       Surname59097            4.80             3.60
Name59098       Surname59098            3.20             2.60
Name59099       Surname59099            4.20             6.00
Name58692       Surname58692            2.80             3.40
Name58690       Surname58690            4.40             6.20
Name59102       Surname59102            4.40             2.60
Name59103       Surname59103            2.80             5.80
Name58685       Surname58685            3.40             2.80
Name58683       Surname58683            4.00             4.00
Name59106       Surname59106            4.20             6.00
Name58681       Surname58681            3.20             4.40
Name59108       Surname59108            3.60             5.40
Name58679       Surname58679            3.20             2.00
Name58672       Surname58672            4.60             4.60
Name58668       Surname58668            3.20             6.20
Name58667       Surname58667            4.00             6.40
Name59113       Surname59113            4.00             2.80
Name58663       Surname58663            3.60             3.00
Name58661       Surname58661            4.80             3.60
Name59116       Surname59116            4.80             3.60
Name58660       Surname58660            4.00             3.40
Name59118       Surname59118            3.20             5.00
Name58659       Surname58659            2.80             2.20
Name58654       Surname58654            4.00             4.00
Name58652       Surname58652            3.80             3.20
Name59122       Surname59122            3.20             4.40
Name59123       Surname59123            3.60             5.40
Name58650       Surname58650            3.60             1.80
Name58649       Surname58649            4.00             2.20
Name59126       Surname59126            3.80             5.00
Name58647       Surname58647            3.00             6.00
Name59128       Surname59128            4.20             5.40
Name58646       Surname58646            4.00             5.80
Name58643       Surname58643            4.00             2.80
Name58641       Surname58641            3.40             3.40
Name58640       Surname58640            3.40             2.20
Name59133       Surname59133            4.40             5.00
Name59134       Surname59134            4.60             5.80
Name59135       Surname59135            4.40             6.80
Name59136       Surname59136            3.80             5.00
Name58637       Surname58637            3.20             3.20
Name58634       Surname58634            4.40             6.80
Name59139       Surname59139            3.60             1.80
Name58631       Surname58631            4.60             2.80
Name59141       Surname59141            4.60             4.00
Name58627       Surname58627            3.60             6.00
Name59143       Surname59143            2.80             1.00
Name58626       Surname58626            4.00             4.60
Name59145       Surname59145            3.00             1.80
Name59146       Surname59146            4.40             3.20
Name59147       Surname59147            4.60             6.40
Name58625       Surname58625            4.20             3.60
Name58624       Surname58624            2.80             1.00
Name58623       Surname58623            4.40             7.40
Name58621       Surname58621            3.40             5.20
Name58618       Surname58618            4.00             3.40
Name59153       Surname59153            4.00             3.40
Name58615       Surname58615            4.20             6.00
Name58611       Surname58611            3.60             3.60
Name59156       Surname59156            2.40             2.40
Name59157       Surname59157            4.40             5.00
Name58608       Surname58608            2.80             2.20
Name58605       Surname58605            3.60             3.60
Name59160       Surname59160            4.80             4.80
Name58603       Surname58603            4.00             4.60
Name58602       Surname58602            3.80             4.40
Name58601       Surname58601            3.80             6.20
Name58599       Surname58599            3.00             2.40
Name58598       Surname58598            3.60             7.20
Name58596       Surname58596            4.40             4.40
Name59167       Surname59167            3.60             3.00
Name59168       Surname59168            4.60             2.20
Name58592       Surname58592            2.80             2.80
Name59170       Surname59170            3.80             5.00
Name58590       Surname58590            4.80             5.40
Name58585       Surname58585            4.20             5.40
Name59173       Surname59173            4.20             3.00
Name59174       Surname59174            3.80             4.40
Name58582       Surname58582            2.80             2.20
Name58578       Surname58578            3.60             4.80
Name59177       Surname59177            2.20             4.60
Name58576       Surname58576            3.80             4.40
Name59179       Surname59179            4.60             4.00
Name58568       Surname58568            4.40             5.00
Name58567       Surname58567            4.80             5.40
Name59182       Surname59182            3.80             2.00
Name59183       Surname59183            4.00             5.20
Name59184       Surname59184            4.00             5.20
Name58566       Surname58566            4.60             7.60
Name58565       Surname58565            2.20             1.60
Name58558       Surname58558            4.60             4.60
Name59188       Surname59188            3.80             2.60
Name59189       Surname59189            3.20             1.40
Name58557       Surname58557            4.80             6.60
Name58556       Surname58556            3.00             3.00
Name58555       Surname58555            4.40             6.80
Name58552       Surname58552            4.20             3.60
Name59194       Surname59194            4.80             6.00
Name58551       Surname58551            1.60             2.20
Name59196       Surname59196            4.60             6.40
Name59197       Surname59197            3.60             4.20
Name59198       Surname59198            3.80             5.00
Name59199       Surname59199            3.80             6.80
Name58550       Surname58550            3.80             4.40
Name58547       Surname58547            2.20             4.60
Name58546       Surname58546            4.60             2.80
Name58545       Surname58545            4.40             3.80
Name59204       Surname59204            4.80             4.80
Name58544       Surname58544            3.80             5.60
Name58542       Surname58542            4.60             3.40
Name59207       Surname59207            4.00             2.20
Name58541       Surname58541            3.40             2.80
Name59209       Surname59209            4.80             4.20
Name59210       Surname59210            4.40             2.60
Name59211       Surname59211            4.00             4.00
Name58540       Surname58540            4.00             5.20
Name58539       Surname58539            4.60             7.60
Name58538       Surname58538            3.00             2.40
Name59215       Surname59215            4.00             5.20
Name58536       Surname58536            4.40             4.40
Name59217       Surname59217            4.40             5.60
Name59218       Surname59218            3.80             1.40
Name59219       Surname59219            2.20             2.80
Name58534       Surname58534            4.60             7.00
Name58533       Surname58533            4.00             2.20
Name59222       Surname59222            4.00             4.00
Name59223       Surname59223            3.40             3.40
Name59224       Surname59224            4.60             4.00
Name58529       Surname58529            4.40             4.40
Name58527       Surname58527            4.00             4.60
Name58523       Surname58523            4.40             5.60
Name58522       Surname58522            2.20             4.00
Name58520       Surname58520            3.80             5.00
Name58518       Surname58518            3.80             3.80
Name58512       Surname58512            2.80             4.60
Name59232       Surname59232            4.60             5.80
Name58508       Surname58508            3.40             4.60
Name59234       Surname59234            3.40             3.40
Name58506       Surname58506            2.60             2.60
Name58505       Surname58505            3.80             6.20
Name58502       Surname58502            3.00             3.00
Name59238       Surname59238            4.20             1.80
Name59239       Surname59239            3.20             2.00
Name58499       Surname58499            4.60             4.60
Name59241       Surname59241            3.60             2.40
Name58498       Surname58498            3.80             3.80
Name59243       Surname59243            4.00             5.80
Name58496       Surname58496            4.00             4.60
Name58495       Surname58495            3.60             7.20
Name59246       Surname59246            4.00             2.20
Name58494       Surname58494            2.20             2.80
Name58492       Surname58492            4.60             5.20
Name58490       Surname58490            3.80             3.20
Name58489       Surname58489            4.40             6.20
Name58488       Surname58488            4.60             8.80
Name58487       Surname58487            3.40             3.40
Name58483       Surname58483            4.60             5.80
Name59254       Surname59254            3.40             4.00
Name59255       Surname59255            3.40             2.20
Name59256       Surname59256            3.60             3.00
Name58481       Surname58481            2.80             4.60
Name58480       Surname58480            2.80             1.00
Name59259       Surname59259            4.20             3.60
Name59260       Surname59260            4.60             5.80
Name59261       Surname59261            4.80             3.60
Name58478       Surname58478            3.60             3.00
Name59263       Surname59263            4.60             6.40
Name58476       Surname58476            3.60             3.60
Name59265       Surname59265            4.20             3.60
Name58474       Surname58474            2.00             1.40
Name58473       Surname58473            4.40             7.40
Name58472       Surname58472            4.20             5.40
Name59269       Surname59269            2.80             1.60
Name59270       Surname59270            4.40             6.20
Name59271       Surname59271            4.60             7.00
Name59272       Surname59272            4.40             3.20
Name58470       Surname58470            3.40             7.00
Name58469       Surname58469            4.00             4.60
Name58468       Surname58468            4.80             6.00
Name59276       Surname59276            2.60             2.60
Name58465       Surname58465            4.40             1.40
Name58463       Surname58463            4.60             3.40
Name59279       Surname59279            4.80             6.60
Name59280       Surname59280            4.00             6.40
Name58459       Surname58459            2.80             2.80
Name58451       Surname58451            2.20             2.20
Name59283       Surname59283            3.00             4.20
Name58445       Surname58445            4.00             5.20
Name59285       Surname59285            3.40             2.80
Name58444       Surname58444            3.00             6.60
Name58443       Surname58443            4.40             6.80
Name59288       Surname59288            3.60             3.00
Name59289       Surname59289            4.80             4.20
Name58442       Surname58442            4.60             3.40
Name59291       Surname59291            4.80             4.20
Name58441       Surname58441            4.00             4.00
Name58440       Surname58440            4.20             6.00
Name58439       Surname58439            4.40             6.20
Name59295       Surname59295            4.80             6.60
Name58436       Surname58436            3.40             5.20
Name58435       Surname58435            3.80             1.40
Name58433       Surname58433            3.80             2.00
Name58428       Surname58428            4.00             5.80
Name58425       Surname58425            4.40             3.80
Name58422       Surname58422            4.40             6.20
Name58418       Surname58418            3.40             5.80
Name59303       Surname59303            2.80             1.00
Name58417       Surname58417            4.00             4.00
Name59305       Surname59305            2.80             3.40
Name59306       Surname59306            4.00             2.80
Name59307       Surname59307            4.20             7.20
Name58412       Surname58412            4.20             6.00
Name58411       Surname58411            3.40             2.20
Name59310       Surname59310            3.40             2.80
Name58408       Surname58408            4.60             7.60
Name59312       Surname59312            3.40             3.40
Name58406       Surname58406            3.80             5.60
Name59314       Surname59314            4.60             6.40
Name59315       Surname59315            4.00             5.20
Name58404       Surname58404            4.20             3.60
Name58403       Surname58403            3.40             5.20
Name58399       Surname58399            2.80             1.00
Name58397       Surname58397            4.00             1.60
Name58395       Surname58395            3.40             2.20
Name58394       Surname58394            4.00             4.00
Name58393       Surname58393            4.40             4.40
Name59323       Surname59323            4.00             4.60
Name58392       Surname58392            4.00             2.20
Name58391       Surname58391            4.80             6.00
Name59326       Surname59326            3.00             4.80
Name58387       Surname58387            3.40             6.40
Name58386       Surname58386            4.40             2.60
Name58385       Surname58385            1.80             3.00
Name58384       Surname58384            4.00             3.40
Name59331       Surname59331            3.20             4.40
Name59332       Surname59332            4.00             5.20
Name58382       Surname58382            4.00             2.80
Name58381       Surname58381            2.80             5.80
Name58380       Surname58380            4.20             3.60
Name58378       Surname58378            4.60             4.00
Name59337       Surname59337            3.80             2.00
Name59338       Surname59338            3.60             6.00
Name58376       Surname58376            4.40             6.20
Name58372       Surname58372            4.00             3.40
Name59341       Surname59341            4.60             6.40
Name59342       Surname59342            4.60             4.60
Name58369       Surname58369            4.80             4.20
Name59344       Surname59344            4.80             3.00
Name59345       Surname59345            1.60             4.00
Name59346       Surname59346            4.60             2.80
Name58368       Surname58368            4.60             5.80
Name59348       Surname59348            4.80             4.80
Name59349       Surname59349            4.80             6.00
Name58364       Surname58364            3.20             3.20
Name59351       Surname59351            3.40             4.60
Name58363       Surname58363            2.80             2.20
Name58353       Surname58353            4.60             4.00
Name58351       Surname58351            2.80             2.80
Name58348       Surname58348            4.00             5.20
Name58344       Surname58344            4.60             4.60
Name58339       Surname58339            4.40             4.40
Name58338       Surname58338            3.80             3.20
Name58334       Surname58334            4.80             5.40
Name58333       Surname58333            4.60             7.00
Name58329       Surname58329            4.80             3.60
Name59362       Surname59362            4.60             5.20
Name59363       Surname59363            2.80             1.60
Name58323       Surname58323            4.80             4.20
Name58320       Surname58320            4.20             4.20
Name59366       Surname59366            2.80             6.40
Name58317       Surname58317            4.00             3.40
Name58315       Surname58315            4.20             3.60
Name59369       Surname59369            3.60             1.80
Name58311       Surname58311            4.40             2.60
Name58307       Surname58307            4.00             4.60
Name59372       Surname59372            4.80             5.40
Name58305       Surname58305            4.80             3.00
Name58303       Surname58303            4.40             4.40
Name59375       Surname59375            4.40             3.80
Name59376       Surname59376            4.00             4.00
Name59377       Surname59377            4.40             3.20
Name58301       Surname58301            2.40             3.00
Name59379       Surname59379            3.80             4.40
Name59380       Surname59380            4.80             6.60
Name59381       Surname59381            3.80             6.20
Name59382       Surname59382            4.20             6.00
Name59383       Surname59383            2.60             5.00
Name58299       Surname58299            2.80             1.60
Name59385       Surname59385            3.60             1.80
Name58297       Surname58297            4.00             4.60
Name59387       Surname59387            4.60             7.60
Name59388       Surname59388            3.20             3.80
Name58295       Surname58295            4.20             6.00
Name58294       Surname58294            4.40             3.20
Name59391       Surname59391            4.40             3.80
Name58288       Surname58288            4.00             4.60
Name59393       Surname59393            4.80             1.80
Name58287       Surname58287            4.80             3.00
Name59395       Surname59395            4.60             6.40
Name59396       Surname59396            4.20             4.80
Name59397       Surname59397            4.40             2.00
Name58286       Surname58286            3.40             4.60
Name59399       Surname59399            2.80             2.20
Name58284       Surname58284            4.80             3.00
Name58283       Surname58283            4.20             6.60
Name59402       Surname59402            4.40             6.80
Name58281       Surname58281            2.40             3.00
Name58278       Surname58278            2.80             2.80
Name58276       Surname58276            4.60             6.40
Name59406       Surname59406            3.80             3.20
Name58275       Surname58275            3.60             3.60
Name59408       Surname59408            4.00             5.80
Name58273       Surname58273            4.40             5.00
Name58270       Surname58270            4.20             3.00
Name58269       Surname58269            3.00             2.40
Name58268       Surname58268            4.20             4.20
Name58267       Surname58267            4.00             4.00
Name58265       Surname58265            3.80             3.80
Name59415       Surname59415            4.40             3.80
Name59416       Surname59416            3.40             5.80
Name58261       Surname58261            4.80             6.60
Name59418       Surname59418            4.00             6.40
Name58259       Surname58259            4.00             2.80
Name58258       Surname58258            4.00             3.40
Name59421       Surname59421            4.60             4.60
Name59422       Surname59422            2.20             1.60
Name59423       Surname59423            4.80             6.60
Name58254       Surname58254            4.60             4.00
Name59425       Surname59425            2.80             2.20
Name58252       Surname58252            4.60             6.40
Name58251       Surname58251            4.40             3.20
Name58250       Surname58250            2.80             5.80
Name59429       Surname59429            4.00             4.60
Name59430       Surname59430            3.60             3.60
Name58249       Surname58249            4.40             8.00
Name58246       Surname58246            4.20             7.20
Name58245       Surname58245            4.60             4.60
Name58240       Surname58240            3.40             3.40
Name58238       Surname58238            4.00             5.20
Name59436       Surname59436            3.40             4.60
Name59437       Surname59437            4.40             3.80
Name58237       Surname58237            4.40             5.00
Name59439       Surname59439            4.60             5.80
Name59440       Surname59440            4.80             3.60
Name59441       Surname59441            4.80             4.80
Name59442       Surname59442            3.00             1.80
Name58235       Surname58235            3.00             1.80
Name58234       Surname58234            4.00             5.80
Name58230       Surname58230            4.60             5.80
Name58229       Surname58229            4.60             5.20
Name58228       Surname58228            4.80             5.40
Name59448       Surname59448            3.00             3.00
Name59449       Surname59449            3.80             3.80
Name58227       Surname58227            3.40             2.20
Name58223       Surname58223            4.20             5.40
Name58220       Surname58220            2.60             3.20
Name58219       Surname58219            4.60             4.00
Name58215       Surname58215            4.20             6.60
Name59455       Surname59455            4.00             6.40
Name59456       Surname59456            3.60             3.60
Name59457       Surname59457            3.20             2.60
Name59458       Surname59458            4.60             2.20
Name58213       Surname58213            4.20             4.20
Name59460       Surname59460            2.80             3.40
Name59461       Surname59461            2.80             1.00
Name59462       Surname59462            3.80             1.40
Name58212       Surname58212            4.40             2.60
Name58211       Surname58211            1.00             1.00
Name58207       Surname58207            4.40             3.80
Name59466       Surname59466            3.80             6.20
Name58204       Surname58204            3.80             6.80
Name59468       Surname59468            4.40             4.40
Name58201       Surname58201            4.20             5.40
Name59470       Surname59470            3.20             2.00
Name58197       Surname58197            3.80             6.80
Name58196       Surname58196            4.80             6.00
Name58195       Surname58195            4.40             6.20
Name59474       Surname59474            4.80             6.00
Name58194       Surname58194            4.40             5.00
Name59476       Surname59476            4.20             2.40
Name58188       Surname58188            4.80             3.60
Name58185       Surname58185            3.20             5.00
Name58184       Surname58184            3.40             2.80
Name58183       Surname58183            4.20             3.00
Name58182       Surname58182            3.60             3.00
Name58181       Surname58181            4.20             3.60
Name58180       Surname58180            3.20             2.60
Name58176       Surname58176            4.20             5.40
Name58175       Surname58175            4.60             5.80
Name59486       Surname59486            3.60             4.20
Name58174       Surname58174            3.20             2.00
Name58173       Surname58173            3.80             4.40
Name59489       Surname59489            4.00             3.40
Name59490       Surname59490            4.60             3.40
Name58171       Surname58171            2.80             1.60
Name58169       Surname58169            3.60             4.20
Name58167       Surname58167            4.80             7.20
Name58166       Surname58166            2.60             3.80
Name58165       Surname58165            4.00             4.60
Name58162       Surname58162            4.60             5.20
Name58161       Surname58161            2.20             1.60
Name58160       Surname58160            3.80             2.00
Name59499       Surname59499            3.40             6.40
Name59500       Surname59500            2.80             1.60
Name59501       Surname59501            4.80             6.60
Name58158       Surname58158            3.60             3.00
Name59503       Surname59503            4.00             1.00
Name58157       Surname58157            3.20             6.20
Name59505       Surname59505            4.60             3.40
Name58156       Surname58156            4.60             5.80
Name58155       Surname58155            3.80             5.60
Name59508       Surname59508            3.20             2.60
Name58154       Surname58154            4.40             6.20
Name58151       Surname58151            4.00             5.80
Name59511       Surname59511            3.20             3.20
Name59512       Surname59512            3.40             2.80
Name59513       Surname59513            4.20             4.20
Name58148       Surname58148            4.20             6.60
Name59515       Surname59515            4.40             4.40
Name59516       Surname59516            4.80             5.40
Name58144       Surname58144            3.00             3.60
Name58140       Surname58140            4.40             2.00
Name59519       Surname59519            3.20             3.20
Name58134       Surname58134            4.80             6.60
Name58133       Surname58133            4.00             2.80
Name59522       Surname59522            3.40             3.40
Name59523       Surname59523            3.40             5.80
Name59524       Surname59524            3.40             3.40
Name59525       Surname59525            4.40             2.60
Name59526       Surname59526            4.80             5.40
Name59527       Surname59527            4.60             7.00
Name59528       Surname59528            4.60             5.20
Name58132       Surname58132            3.40             4.60
Name58130       Surname58130            4.40             6.80
Name59531       Surname59531            4.60             5.20
Name58128       Surname58128            4.00             2.80
Name58127       Surname58127            3.80             2.00
Name58126       Surname58126            4.60             4.60
Name59535       Surname59535            4.20             5.40
Name58125       Surname58125            4.20             2.40
Name58124       Surname58124            4.00             5.80
Name59538       Surname59538            4.60             4.00
Name58123       Surname58123            4.00             1.00
Name58117       Surname58117            4.80             4.20
Name59541       Surname59541            3.40             2.20
Name58115       Surname58115            4.00             7.00
Name59543       Surname59543            4.60             4.00
Name58105       Surname58105            3.20             5.60
Name59545       Surname59545            4.60             6.40
Name59546       Surname59546            4.80             4.80
Name58101       Surname58101            4.40             5.60
Name58100       Surname58100            4.60             4.00
Name58099       Surname58099            3.20             5.60
Name59550       Surname59550            4.00             3.40
Name58098       Surname58098            3.80             2.00
Name59552       Surname59552            4.40             3.20
Name58096       Surname58096            4.80             6.00
Name58089       Surname58089            3.80             4.40
Name59555       Surname59555            4.20             3.00
Name59556       Surname59556            1.80             1.80
Name58088       Surname58088            4.20             4.20
Name59558       Surname59558            4.20             4.80
Name59559       Surname59559            4.20             3.00
Name59560       Surname59560            3.60             3.60
Name58087       Surname58087            4.40             5.60
Name59562       Surname59562            2.20             1.60
Name58085       Surname58085            2.60             2.00
Name59564       Surname59564            3.40             2.20
Name59565       Surname59565            4.20             3.00
Name59566       Surname59566            3.20             5.60
Name59567       Surname59567            4.60             3.40
Name58084       Surname58084            3.60             5.40
Name58083       Surname58083            3.60             5.40
Name58080       Surname58080            4.80             5.40
Name58071       Surname58071            2.80             3.40
Name59572       Surname59572            3.60             3.00
Name58070       Surname58070            4.80             6.00
Name59574       Surname59574            3.80             3.20
Name58067       Surname58067            3.60             5.40
Name58066       Surname58066            4.20             2.40
Name58062       Surname58062            2.60             4.40
Name58058       Surname58058            3.60             4.20
Name59579       Surname59579            4.00             5.80
Name58056       Surname58056            3.60             3.00
Name58054       Surname58054            2.80             1.00
Name59582       Surname59582            4.00             5.20
Name58053       Surname58053            2.20             1.00
Name59584       Surname59584            3.20             4.40
Name58052       Surname58052            4.60             5.20
Name59586       Surname59586            4.80             4.20
Name58050       Surname58050            4.80             3.60
Name58049       Surname58049            4.60             4.00
Name58043       Surname58043            4.80             8.40
Name59590       Surname59590            4.00             4.60
Name58034       Surname58034            3.40             6.40
Name59592       Surname59592            4.60             2.20
Name58033       Surname58033            3.60             3.00
Name59594       Surname59594            4.00             3.40
Name58031       Surname58031            3.00             5.40
Name59596       Surname59596            1.60             3.40
Name59597       Surname59597            3.80             2.60
Name59598       Surname59598            4.00             2.20
Name58026       Surname58026            2.80             5.80
Name58024       Surname58024            2.80             2.80
Name58023       Surname58023            4.20             6.00
Name58019       Surname58019            4.00             3.40
Name58016       Surname58016            2.80             2.20
Name58014       Surname58014            3.80             6.80
Name59605       Surname59605            3.40             1.00
Name58010       Surname58010            3.60             6.00
Name59607       Surname59607            3.60             3.60
Name58009       Surname58009            3.20             2.60
Name58006       Surname58006            3.00             6.60
Name58000       Surname58000            2.80             2.80
Name59611       Surname59611            3.00             2.40
Name57995       Surname57995            2.20             1.00
Name59613       Surname59613            1.60             1.60
Name57993       Surname57993            4.80             4.80
Name57990       Surname57990            4.40             3.80
Name57989       Surname57989            2.80             1.00
Name57986       Surname57986            2.80             3.40
Name57982       Surname57982            3.20             1.40
Name59619       Surname59619            4.80             6.60
Name59620       Surname59620            4.60             2.20
Name57981       Surname57981            4.40             2.60
Name59622       Surname59622            3.00             1.80
Name57978       Surname57978            3.60             3.00
Name59624       Surname59624            3.60             4.20
Name57975       Surname57975            3.40             3.40
Name57972       Surname57972            4.00             5.80
Name59627       Surname59627            4.40             5.00
Name59628       Surname59628            4.40             4.40
Name59629       Surname59629            2.60             2.60
Name59630       Surname59630            4.20             5.40
Name57971       Surname57971            4.20             3.00
Name59632       Surname59632            3.20             2.60
Name57968       Surname57968            3.80             5.00
Name57965       Surname57965            3.40             5.20
